,Id,Label,name,Degree,Authority,Modularity.Class,PageRank,Clustering.Coefficient,Number.of.triangles,Eigenvector.Centrality,Eccentricity,Closeness.Centrality,Betweenness.Centrality,ave_view,ave_comment,ave_mylist,ave_starttime,ave_length,Points,training,modify_probability
1109.0 ,6159.0 ,6159.0 ,X...すごい漢だ.,9,5.00E-04,22,0.000566,1,36,0.052925872,3,2.408264463,0,12048.31359,1334.028223,721.0499356,2011/7/8 12:06,640.0035061,24071.90621,0,0.232940732
1110.0 ,6160.0 ,6160.0 ,山田権座衛門之助ゆっくり衛門,9,5.00E-04,22,0.000557,1,36,0.053736815,3,2.410743802,0,147683,6815,1766,2012/5/12 14:02,980,180690.7836,1,0
1111.0 ,6162.0 ,6162.0 ,荒ぶる目線,10,5.50E-04,14,0.000542,1,45,0.062347361,3,2.165289256,0,8969,217,185,2012/5/12 20:38,675,11955.97503,0,0.026521137
1112.0 ,6164.0 ,6164.0 ,野戦病院,9,5.00E-04,22,0.000541,1,36,0.06311149,3,2.266115702,0,4871,250,62,2011/7/21 5:11,1249,6038.941347,0,0.922591833
1113.0 ,6165.0 ,6165.0 ,般若心経,9,5.00E-04,15,0.000589,1,36,0.035276301,3,2.42892562,0,1563,47,21,2011/7/22 7:02,766,1923.645616,1,0
1114.0 ,6167.0 ,6167.0 ,良画質,9,5.00E-04,2,0.00058,1,36,0.0524572,3,2.410743802,0,1963,116,33,2010/11/21 16:07,918,2567.628788,0,0.655219068
1115.0 ,6169.0 ,6169.0 ,滉,9,5.00E-04,22,0.000542,1,36,0.054707788,3,2.410743802,0,2175,203,37,2012/3/4 21:09,768,2915.936232,0,0.389091791
1116.0 ,6173.0 ,6173.0 ,紅美鈴,9,5.00E-04,22,0.000563,1,36,0.053005966,3,2.410743802,0,40035,1113,704,2011/10/2 11:59,989,51678.4012,0,0.891444505
1117.0 ,6174.0 ,6174.0 ,後の世界創設者,9,5.00E-04,22,0.000524,1,36,0.059925098,3,2.367768595,0,19985,473,413,2011/10/4 0:31,1223,26642.28039,0,0.965475063
1118.0 ,6176.0 ,6176.0 ,名状しがたきCoCのようなもの,10,5.50E-04,22,0.000571,1,45,0.051987214,3,2.274380165,0,14567,498,39,2012/4/3 23:14,266,15633.58024,0,0.008468673
1119.0 ,6178.0 ,6178.0 ,能「舎界」,9,5.00E-04,22,0.00053,1,36,0.033082753,4,2.438842975,0,50490,1424,185,2012/5/11 17:34,972,54650.07841,0,0.361692635
1120.0 ,6180.0 ,6180.0 ,真っ白な街と真っ黒なセロス,9,5.00E-04,22,0.000515,1,36,0.057926084,3,2.398347107,0,10178,278,17,2012/5/12 9:02,415,10703.62064,0,0.053523038
1121.0 ,6182.0 ,6182.0 ,視聴者様の中に絵師さんはいませんか.,9,5.00E-04,22,0.000532,1,36,0.055879201,3,2.403305785,0,18401.97507,1153.618992,159.570508,2011/7/7 6:30,677.1206364,21881.64848,0,0.333826289
