"","Id","Label","name","次数","Weighted.Degree","Authority","Hub","Modularity.Class","PageRank","Component.ID","Clustering.Coefficient","Number.of.triangles","Eigenvector.Centrality","Eccentricity","Closeness.Centrality","Betweenness.Centrality","ave_view","ave_comment","ave_mylist","ave_starttime","ave_length","Points","probability","training"
"974",5265,5265,"守りたかった.この笑顔",9,9,"5.00E-04","5.00E-04",5,0.000581,0,1,36,0.051740643,3,2.410743802,0,9062.263848,744.1200211,622.3030841,"2011/7/21 2:07",799.1281633,19087.8348,0.115490549662485,0
"975",5274,5274,"当然だぁ.",9,9,"5.00E-04","5.00E-04",22,0.000551,0,1,36,0.055867084,3,2.384297521,0,10138.52359,1516.202096,612.9893481,"2011/7/14 16:58",553.8419813,20662.17414,0.217436458081714,0
"976",5278,5278,"リュウとモリガン",9,9,"5.00E-04","5.00E-04",22,0.000581,0,1,36,0.051740643,3,2.410743802,0,15036,795,54,"2010/11/17 0:56",1295,16601.21246,0.979554065681053,0
"977",5281,5281,"妄想ハッピーエンド",9,9,"5.00E-04","5.00E-04",0,0.000581,0,1,36,0.051740643,3,2.410743802,0,361228,33452,2629,"2011/5/8 21:42",1390,431298.461,0.86915791822869,1
"978",5283,5283,"亀フェル",9,9,"5.00E-04","5.00E-04",22,0.00057,0,1,36,0.052120554,3,2.410743802,0,13117,466,33,"2011/5/11 0:51",404,14062.05141,0.174133496259294,0
"979",5284,5284,"物語は紡ぎ紡がれていく",10,10,"5.50E-04","5.50E-04",22,0.000587,0,1,45,0.056272192,3,2.409917355,0,11705,497,56,"2011/5/13 13:37",1632,13021.84916,0.996177794684668,0
"980",5285,5285,"北斗無双",10,10,"5.50E-04","5.50E-04",13,0.000586,0,1,45,0.055206995,3,2.400826446,0,9101,511,50,"2011/5/15 13:08",1414,10334.97444,0.977661810571519,0
"981",5290,5290,"東方ハートフル物語",12,20,"6.49E-04","6.49E-04",14,0.000633,0,0.954545455,63,0.041819903,3,2.582644628,5.872636345,19831.5,392,434,"2010/12/10 11:24",209.5,26726.06135,0.542673981832507,0
"982",5291,5291,"手加減を知らない二人",10,10,"5.50E-04","5.50E-04",14,0.000574,0,1,45,0.026934129,3,2.680991736,0,9947,314,69,"2012/1/2 4:09",850,11286.45537,0.584237891895351,0
"983",5292,5292,"射命丸文",9,9,"5.00E-04","5.00E-04",14,0.000522,0,1,36,0.025026836,3,2.681818182,0,22857,497,174,"2013/3/26 16:36",290,25953.50149,0.0310628430341945,0
"984",5294,5294,"マルコブカラッパ",10,10,"5.50E-04","5.50E-04",14,0.000629,0,1,45,0.020088557,3,2.72892562,0,374,19,5,"2015/10/13 2:29",282,467.0929648,0.0395254518674587,1
"985",5295,5295,"月光蝶を呼ぶんじゃない.",10,10,"5.50E-04","5.50E-04",14,0.000552,0,1,45,0.032371272,3,2.676859504,0,21596.62049,1086.390721,158.5568809,"2011/5/30 18:26",670.4657088,25009.69351,0.680047578079089,0
"986",5298,5298,"妄想厨",9,9,"5.00E-04","5.00E-04",15,0.000559,0,1,36,0.038721843,3,2.328099174,0,333,128,6,"2011/5/11 0:04",1715,515.9164882,0.9495236648495,1
"987",5302,5302,"埼玉県民ホイホイ",13,13,"6.99E-04","6.99E-04",8,0.000716,0,0.641025641,50,0.047629654,3,2.185950413,1415.671359,169083,4219,1413,"2011/10/14 8:46",627.5,194395.12,0.869005741042423,1
"988",5306,5306,"ぴいた",9,9,"5.00E-04","5.00E-04",14,0.000601,0,1,36,0.035644463,3,2.332231405,0,10851,696,66,"2012/10/13 11:36",861,12495.28675,0.0532500700380849,0
"989",5310,5310,"東方宇宙農",9,9,"5.00E-04","5.00E-04",14,0.000507,0,1,36,0.03349314,3,2.646280992,0,2573,91,6,"2010/6/5 16:07",321,2750.898502,0.298455168083388,0
"990",5311,5311,"北白河ちゆり",10,10,"5.50E-04","5.50E-04",14,0.000518,0,1,45,0.046301685,3,2.566115702,0,4732,195,71,"2010/7/7 7:59",337,5984.391957,0.398924313435009,0
"991",5313,5313,"人柱アリス",10,10,"5.50E-04","5.50E-04",8,0.000542,0,1,45,0.023172894,3,2.798347107,0,2852,175,34,"2011/3/22 18:14",302,3526.9951,0.236412359049882,0
"992",5319,5319,"東方を描いてみた",11,13,"5.99E-04","5.99E-04",21,0.000573,0,0.836363636,46,0.059591286,3,2.252892562,21.31792414,2269.333333,90,28,"2009/9/21 19:04",553.3333333,2775.940426,0.591994704825488,0
"993",5323,5323,"東方マウスカーソル",11,15,"5.99E-04","5.99E-04",21,0.000548,0,0.909090909,50,0.076588523,3,2.094214876,6.615431462,4451.333333,79.66666667,27.33333333,"2008/9/3 15:22",105.3333333,4939.607653,0.111315563180477,0
"994",5325,5325,"ポップン",9,9,"5.00E-04","5.00E-04",17,0.000588,0,1,36,0.035456741,3,2.336363636,0,2029,242,33,"2008/9/28 15:34",156,2740.581597,0.0336471570709299,0
"995",5328,5328,"忙しい人向けシリーズ",13,14,"6.99E-04","6.99E-04",4,0.000659,0,0.717948718,56,0.04745994,3,2.542975207,61.35649453,1158.5,26,11.5,"2009/10/16 6:23",180.5,1356.434783,0.100535488363652,1
"996",5330,5330,"ゆっくりしね",10,10,"5.50E-04","5.50E-04",1,0.000598,0,1,45,0.016985389,3,2.82892562,0,3780,111,25,"2008/11/24 17:53",556,4262.853677,0.464315738846904,0
"997",5331,5331,"東方暴月弾",10,10,"5.50E-04","5.50E-04",21,0.00052,0,1,45,0.027736115,3,2.768595041,0,5503,105,17,"2008/11/30 19:47",36,5861.04,0.869110458243293,0
"998",5332,5332,"気分がZU.N",10,10,"5.50E-04","5.50E-04",21,0.000547,0,1,45,0.029740289,3,2.671900826,0,34768.72062,874.4177327,237.7064871,"2011/6/18 20:26",819.8912545,39187.42606,0.9407673513404,0
"999",5335,5335,"東方萃香無双",10,10,"5.50E-04","5.50E-04",14,0.000536,0,1,45,0.030537289,3,2.707438017,0,21528,1289,325,"2012/3/27 18:51",792,27620.20322,0.571435840760236,0
"1000",5336,5336,"わるゐこの方の有野",9,9,"5.00E-04","5.00E-04",9,0.000472,0,1,36,0.034910946,3,2.712396694,0,16048,259,21,"2012/4/12 23:12",599,16617.89166,0.147750821553166,0
"1001",5340,5340,"何やってんだ俺",9,9,"5.00E-04","5.00E-04",21,0.000492,0,1,36,0.031966569,3,2.704132231,0,5259,326,42,"2009/3/9 23:28",249,6196.113204,0.799755393421318,0
"1002",5362,5362,"制限プレイpart1リンク",10,16,"5.50E-04","5.50E-04",22,0.000578,0,1,45,0.058915022,3,2.394214876,0,24852,392,273.6,"2010/12/5 11:13",714.4,29341.97812,0.840270663486987,0
"1003",5481,5481,"顔芸",13,18,"6.99E-04","6.99E-04",14,0.00066,0,0.551282051,43,0.062989883,3,2.237190083,385.2093227,19717,485.25,72.25,"2012/5/8 8:28",341.75,21274.38602,0.146072586974703,0
"1004",5483,5483,"濃霧注意報",9,9,"5.00E-04","5.00E-04",22,0.000532,0,1,36,0.055879201,3,2.403305785,0,12573.66667,307,81.33333333,"2013/5/2 16:07",712.6666667,14093.39549,0.266950468923376,0
"1005",5491,5491,"祭り",10,10,"5.50E-04","5.50E-04",4,0.000542,0,1,45,0.034037563,3,2.653719008,0,7946.2,167.4,19.2,"2012/2/15 11:21",521,8398.154353,0.0403080573876311,0
"1006",5554,5554,"初見殺し",9,9,"5.00E-04","5.00E-04",14,0.000529,0,1,36,0.054090825,3,2.36446281,0,11539,309.5,86.5,"2012/8/10 4:31",1032.5,13137.97401,0.4184272753726,0
"1007",5556,5556,"納得の感動",17,20,"8.99E-04","8.99E-04",7,0.000951,0,0.639705882,87,0.063327484,3,2.395041322,20.01055601,41785.66667,1845.666667,476,"2011/10/17 8:20",1008,50694.10161,0.74662239151999,0
"1008",5562,5562,"月読家実況プレイ",9,9,"5.00E-04","5.00E-04",18,6e-04,0,1,36,0.03457357,3,2.428099174,0,20329.25,623.75,118.75,"2011/7/29 6:31",908,22715.78622,0.295187677802785,0
"1009",5565,5565,"音程が来い",24,32,"0.001248938","0.001248938",21,0.001150513,0,0.460144928,127,0.065132081,3,2.485950413,247.8062609,9348.625,758.25,138.75,"2010/3/2 12:47",270.875,12132.00904,0.695710471556722,0
"1010",5590,5590,"リア充爆発した",10,10,"5.50E-04","5.50E-04",22,0.000591,0,1,45,0.057104317,3,2.409917355,0,146518.3333,12446.66667,282,"2010/7/4 14:08",853.3333333,162222.1747,0.925489195328873,1
"1011",5612,5612,"正統派かわいいゆっくりシリーズ",10,10,"5.50E-04","5.50E-04",8,0.000579,0,1,45,0.017330806,3,2.824793388,0,59565.5,2465.714286,1622.642857,"2011/5/18 19:09",252,86275.34452,0.169437426781582,0
"1012",5616,5616,"肺気音",9,9,"5.00E-04","5.00E-04",22,0.000557,0,1,36,0.048266719,3,2.410743802,0,37180,889,93,"2010/4/3 23:04",695,39443.29037,0.665942504927294,0
"1013",5618,5618,"聖戦の系譜",10,25,"5.50E-04","5.50E-04",22,0.00058,0,1,45,0.056642903,3,2.409917355,0,9328.333333,231.6666667,48,"2010/5/31 7:57",820,10274.41409,0.856363415087976,0
"1014",5621,5621,"平原牛は飯じゃなくてハンマー",9,9,"5.00E-04","5.00E-04",22,0.000559,0,1,36,0.055744941,3,2.29338843,0,3331,334,2,"2011/4/11 19:53",351,3664.578402,0.0674119563050476,0
"1015",5624,5624,"咲夜",9,9,"5.00E-04","5.00E-04",21,0.000483,0,1,36,0.05844955,3,2.275206612,0,48522,1087,1424,"2009/11/11 23:01",228,70945.84696,0.116664516249532,0
"1016",5634,5634,"浜松まつり",10,10,"5.50E-04","5.50E-04",4,0.000542,0,1,45,0.034037563,3,2.653719008,0,805,41,8,"2012/5/11 20:43",424,964.0316159,0.0215439343838032,1
"1017",5638,5638,"国道168号線",10,10,"5.50E-04","5.50E-04",4,0.000568,0,1,45,0.022887805,3,2.73553719,0,420,27,2,"2012/3/4 5:37",780,475.376392,0.127551714687708,1
"1018",5641,5641,"怒りの帰宅",9,9,"5.00E-04","5.00E-04",4,0.000589,0,1,36,0.034047805,3,2.384297521,0,127213,4839,397,"2010/10/2 18:24",1028,137830.208,0.434485419816045,1
"1019",5642,5642,"夢の国チキンレース",10,10,"5.50E-04","5.50E-04",4,0.000611,0,1,45,0.035597417,3,2.383471074,0,253408,15001,465,"2010/10/9 13:46",867,274547.0652,0.354552032128506,1
"1020",5662,5662,"金をかけるゲーム",9,9,"5.00E-04","5.00E-04",3,0.000618,0,1,36,0.046124542,3,2.410743802,0,2018,105,20,"2011/5/6 1:33",794,2417.855343,0.10823902843439,0
"1021",5663,5663,"仕方ないねの人",9,9,"5.00E-04","5.00E-04",22,0.000548,0,1,36,0.054438556,3,2.410743802,0,57380,1967,871,"2011/5/6 16:10",1208,72347.74863,0.958735456064184,0
"1022",5665,5665,"古明地こいし",9,9,"5.00E-04","5.00E-04",22,0.000536,0,1,36,0.056637473,3,2.391735537,0,17534,427,235,"2012/5/10 20:22",300,21475.97972,0.0341438198269701,0
"1023",5666,5666,"中毒性の高い動画",9,9,"5.00E-04","5.00E-04",22,0.000557,0,1,36,0.053736815,3,2.410743802,0,147683,6815,1766,"2012/5/12 14:02",980,180690.7836,0.696798318031503,1
"1024",5668,5668,"梅津る",9,9,"5.00E-04","5.00E-04",22,0.000541,0,1,36,0.06311149,3,2.266115702,0,4871,250,62,"2011/7/21 5:11",1249,6038.941347,0.918429654772076,0
"1025",5669,5669,"犬丼帝国",9,9,"5.00E-04","5.00E-04",15,0.000589,0,1,36,0.035276301,3,2.42892562,0,1563,47,21,"2011/7/22 7:02",766,1923.645616,0.100528661924479,1
"1026",5672,5672,"最強の敵：通路",9,9,"5.00E-04","5.00E-04",2,0.00058,0,1,36,0.0524572,3,2.410743802,0,1963,116,33,"2010/11/21 16:07",918,2567.628788,0.612341181649257,0
"1027",5676,5676,"期待の飼い主",9,9,"5.00E-04","5.00E-04",22,0.000542,0,1,36,0.054707788,3,2.410743802,0,2175,203,37,"2012/3/4 21:09",768,2915.936232,0.413530278763509,0
"1028",5682,5682,"空気が読めないことに定評のあるうｐ主",9,9,"5.00E-04","5.00E-04",22,0.000563,0,1,36,0.053005966,3,2.410743802,0,40035,1113,704,"2011/10/2 11:59",989,51678.4012,0.905557098323199,0
"1029",5683,5683,"建築伝説の始まり",9,9,"5.00E-04","5.00E-04",22,0.000524,0,1,36,0.059925098,3,2.367768595,0,19985,473,413,"2011/10/4 0:31",1223,26642.28039,0.970592179963841,0
"1030",5686,5686,"全神話生物が泣いた",10,10,"5.50E-04","5.50E-04",22,0.000571,0,1,45,0.051987214,3,2.274380165,0,14567,498,39,"2012/4/3 23:14",266,15633.58024,0.0147128814807682,0
"1031",5687,5687,"妖怪と人間の価値感の相違",9,9,"5.00E-04","5.00E-04",22,0.000512,0,1,36,0.045569177,3,2.423966942,0,13307,387,35,"2012/4/11 20:56",329,14208.09105,0.0412243195581173,0
"1032",5689,5689,"宇宙の真理について",9,9,"5.00E-04","5.00E-04",22,0.00053,0,1,36,0.033082753,4,2.438842975,0,50490,1424,185,"2012/5/11 17:34",972,54650.07841,0.423131730918308,0
"1033",5691,5691,"最終兵器カラダで払う",9,9,"5.00E-04","5.00E-04",22,0.000515,0,1,36,0.057926084,3,2.398347107,0,10178,278,17,"2012/5/12 9:02",415,10703.62064,0.074937694112073,0
"1034",5693,5693,"大正卓",9,9,"5.00E-04","5.00E-04",22,0.000553,0,1,36,0.057517208,3,2.403305785,0,57707,2180,221,"2012/5/13 18:57",1008,63122.93565,0.757228141119116,0
"1035",5696,5696,"世紀末都市サザンクロス",9,9,"5.00E-04","5.00E-04",22,0.000524,0,1,36,0.058130908,3,2.403305785,0,17489,389,35,"2011/12/22 22:09",651,18394.55245,0.617555573588275,0
"1036",5697,5697,"右下の活躍",9,9,"5.00E-04","5.00E-04",22,0.000522,0,1,36,0.0582231,3,2.403305785,0,16781,303,48,"2012/1/10 0:38",542,17798.64108,0.20682584852474,0
"1037",5699,5699,"卓上ゲーム",9,9,"5.00E-04","5.00E-04",22,0.00053,0,1,36,0.041277646,3,2.423966942,0,1240,15,4,"2012/1/25 23:44",1016,1314.821287,0.714276379241192,1
