Source,Target,Type,Id,Label,Weight
2027,259,Undirected,6286,0,1
2027,661,Undirected,6287,0,1
2027,1231,Undirected,6288,0,1
2028,218,Undirected,6290,0,1
2028,230,Undirected,6291,0,1
2028,260,Undirected,6292,0,1
2028,1423,Undirected,6293,0,1
2030,129,Undirected,6299,0,1
2030,266,Undirected,6300,0,1
2030,273,Undirected,6301,0,1
2030,1236,Undirected,6302,0,1
2031,45,Undirected,6304,0,1
2031,270,Undirected,6305,0,1
2031,273,Undirected,6306,0,1
2031,1240,Undirected,6307,0,1
2032,273,Undirected,6309,0,1
2032,1242,Undirected,6310,0,1
2032,1423,Undirected,6311,0,1
2033,273,Undirected,6313,0,1
2033,278,Undirected,6314,0,1
2034,79,Undirected,6316,0,8
2034,145,Undirected,6317,0,2
2034,146,Undirected,6318,0,2
2034,147,Undirected,6319,0,2
2034,149,Undirected,6320,0,2
2034,273,Undirected,6321,0,18
2034,278,Undirected,6322,0,1
2034,279,Undirected,6323,0,1
2034,280,Undirected,6324,0,1
2034,281,Undirected,6325,0,1
2034,283,Undirected,6326,0,1
2034,285,Undirected,6327,0,1
2034,289,Undirected,6328,0,1
2034,291,Undirected,6329,0,1
2034,292,Undirected,6330,0,1
2034,296,Undirected,6331,0,1
2034,1152,Undirected,6332,0,2
2034,1153,Undirected,6333,0,2
2034,1247,Undirected,6334,0,1
2034,1248,Undirected,6335,0,1
2034,1250,Undirected,6336,0,1
2034,1252,Undirected,6337,0,1
2034,1257,Undirected,6338,0,1
2034,1644,Undirected,6339,0,2
2034,2033,Undirected,6340,0,1
2036,273,Undirected,6347,0,1
2036,282,Undirected,6348,0,1
2036,1249,Undirected,6349,0,1
2037,273,Undirected,6351,0,1
2037,283,Undirected,6352,0,1
2037,1250,Undirected,6353,0,1
2037,2034,Undirected,6354,0,1
2038,273,Undirected,6356,0,2
2038,286,Undirected,6357,0,1
2038,287,Undirected,6358,0,1
2038,1253,Undirected,6359,0,1
2038,1254,Undirected,6360,0,1
2039,273,Undirected,6362,0,1
2039,287,Undirected,6363,0,1
2039,1254,Undirected,6364,0,1
2039,2038,Undirected,6365,0,1
2041,273,Undirected,6371,0,1
2041,290,Undirected,6372,0,1
2041,1256,Undirected,6373,0,1
2042,135,Undirected,6375,0,1
2042,273,Undirected,6376,0,1
2042,1258,Undirected,6377,0,1
2044,19,Undirected,6385,0,1
2044,273,Undirected,6386,0,1
2044,294,Undirected,6387,0,1
2044,1312,Undirected,6388,0,1
2048,273,Undirected,6404,0,1
2048,289,Undirected,6405,0,1
2048,299,Undirected,6406,0,1
2048,1238,Undirected,6407,0,1
2048,1423,Undirected,6408,0,1
2049,50,Undirected,6410,0,2
2049,79,Undirected,6411,0,2
2049,273,Undirected,6412,0,8
2049,312,Undirected,6413,0,1
2049,314,Undirected,6415,0,1
2049,1242,Undirected,6416,0,5
2049,1423,Undirected,6417,0,2
2052,51,Undirected,6428,0,3
2052,79,Undirected,6429,0,1
2052,273,Undirected,6430,0,3
2052,303,Undirected,6431,0,1
2052,305,Undirected,6432,0,3
2052,315,Undirected,6433,0,1
2052,1276,Undirected,6434,0,1
2052,1312,Undirected,6435,0,2
2059,1,Undirected,6464,0,1
2059,661,Undirected,6465,0,1
2059,1179,Undirected,6466,0,1
2059,1281,Undirected,6467,0,1
2059,1284,Undirected,6468,0,1
2059,1782,Undirected,6469,0,1
2064,1,Undirected,6497,0,2
2064,332,Undirected,6498,0,2
2064,661,Undirected,6499,0,2
2064,1171,Undirected,6500,0,2
2064,1284,Undirected,6501,0,2
2076,1,Undirected,6566,0,1
2076,348,Undirected,6567,0,1
2076,661,Undirected,6568,0,1
2076,1283,Undirected,6569,0,1
2076,1284,Undirected,6570,0,1
2076,1302,Undirected,6571,0,1
2087,45,Undirected,6635,0,1
2087,58,Undirected,6636,0,1
2087,359,Undirected,6637,0,1
2087,1323,Undirected,6638,0,1
2089,45,Undirected,6648,0,1
2089,58,Undirected,6649,0,1
2089,122,Undirected,6650,0,1
2089,1323,Undirected,6651,0,1
2095,45,Undirected,6680,0,8
2095,58,Undirected,6681,0,8
2095,79,Undirected,6682,0,2
2095,122,Undirected,6683,0,2
2095,130,Undirected,6684,0,2
2095,364,Undirected,6685,0,1
2095,1319,Undirected,6686,0,1
2095,1320,Undirected,6687,0,2
2095,1323,Undirected,6688,0,8
2095,1947,Undirected,6689,0,2
2095,2089,Undirected,6690,0,1
2095,2091,Undirected,6691,0,1
