Id,Label,name,ave_view,ave_comment,ave_mylist,ave_starttime,end,ave_length,Points,training,modify_probability,Time Interval,Modularity Class
4741,4741,もうめ?こ??,237638.0,5903.0,1620.0,2012/1/7 0:00,2015/10/20 0:00,1160.0,267698.8672,1,0.0,"<[1.325862E12, 1.4452668E12]>",7
1439,1439,R.TYPE_FINAL,17287.65148,1229.370368,194.4477385,2011/6/30 0:00,2015/10/20 0:00,686.8982831,21352.96653,0,0.088128961,"<[1.3093596E12, 1.4452668E12]>",7
2900,2900,東方??????,5017.5,162.0,36.25,2012/6/29 0:00,2015/10/20 0:00,590.25,5718.218317,0,0.043436456,"<[1.3408956E12, 1.4452668E12]>",15
6159,6159,X...すごぼ??_.,12048.31359,1334.028223,721.0499356,2011/7/9 0:00,2015/10/20 0:00,640.0035061,24071.90621,0,0.232940732,"<[1.3101372E12, 1.4452668E12]>",18
2713,2713,ゲー?_センターYX,29164.0,1020.0,241.0,2012/5/11 0:00,2015/10/20 0:00,1560.0,33764.80444,0,0.981553975,"<[1.336662E12, 1.4452668E12]>",18
4565,4565,ーンーンーン,29164.0,1020.0,241.0,2012/5/11 0:00,2015/10/20 0:00,1560.0,33764.80444,0,0.981553975,"<[1.336662E12, 1.4452668E12]>",18
167,167,SEGA,10388.33333,360.0,83.33333333,2012/8/28 0:00,2015/10/20 0:00,1093.333333,11986.36841,0,0.81501895,"<[1.3460796E12, 1.4452668E12]>",18
3554,3554,フタエノキワ?,9947.0,314.0,69.0,2012/1/2 0:00,2015/10/20 0:00,850.0,11286.45537,0,0.48059186,"<[1.32543E12, 1.4452668E12]>",15
2910,2910,東方探偵物?,4206.75,130.5833333,32.75,2013/1/20 0:00,2015/10/20 0:00,672.3333333,4824.681347,0,0.574483909,"<[1.3586076E12, 1.4452668E12]>",15
2901,2901,ニトリ,9947.0,314.0,69.0,2012/1/2 0:00,2015/10/20 0:00,850.0,11286.45537,0,0.48059186,"<[1.32543E12, 1.4452668E12]>",15
2187,2187,ナイトライダー,9947.0,314.0,69.0,2012/1/2 0:00,2015/10/20 0:00,850.0,11286.45537,0,0.48059186,"<[1.32543E12, 1.4452668E12]>",15
4728,4728,愛ちも?,9550.0,374.0,54.0,2012/2/4 0:00,2015/10/20 0:00,1242.0,10719.98156,0,0.769842561,"<[1.3282812E12, 1.4452668E12]>",15
1419,1419,お米た?ろ?.め?くり声.,9431.480052,1116.596044,92.68305757,2011/7/21 0:00,2015/10/20 0:00,596.3683673,11821.15112,0,0.171160902,"<[1.311174E12, 1.4452668E12]>",15
3555,3555,安?E運転とはなんだった??.,3169.030766,2295.44322,733.5738864,2011/7/6 0:00,2015/10/20 0:00,603.0755601,15617.9663,0,0.159221686,"<[1.309878E12, 1.4452668E12]>",15
483,483,X.安?E運転.危険運転,6324.872853,1097.565683,376.3949195,2011/7/15 0:00,2015/10/20 0:00,771.6749038,12913.89686,0,0.355727558,"<[1.3106556E12, 1.4452668E12]>",15
3599,3599,期征E??E??,8704.0,267.0,88.0,2008/12/8 0:00,2015/10/20 0:00,155.0,10283.13059,0,0.846109563,"<[1.228662E12, 1.4452668E12]>",19
2951,2951,呪?,8704.0,267.0,88.0,2008/12/8 0:00,2015/10/20 0:00,155.0,10283.13059,0,0.846109563,"<[1.228662E12, 1.4452668E12]>",19
5306,5306,ぴぁ?,10851.0,696.0,66.0,2012/10/13 0:00,2015/10/20 0:00,861.0,12495.28675,0,0.024860413,"<[1.350054E12, 1.4452668E12]>",19
515,515,Better_Life,10851.0,696.0,66.0,2012/10/13 0:00,2015/10/20 0:00,861.0,12495.28675,0,0.024860413,"<[1.350054E12, 1.4452668E12]>",19
6295,6295,後ろの存在?,10851.0,696.0,66.0,2012/10/13 0:00,2015/10/20 0:00,861.0,12495.28675,0,0.024860413,"<[1.350054E12, 1.4452668E12]>",19
493,493,sims3,25951.66667,1255.666667,227.0,2012/7/12 0:00,2015/10/20 0:00,1124.333333,30554.8616,0,0.162513318,"<[1.3420188E12, 1.4452668E12]>",19
4203,4203,主に体がきも?,45585.0,1034.666667,207.6666667,2010/1/15 0:00,2015/10/20 0:00,1164.0,49711.80534,0,0.979398875,"<[1.2634812E12, 1.4452668E12]>",18
4930,4930,迷兵器で行こあ?リーズ,15647.0,251.3333333,121.6666667,2013/1/4 0:00,2015/10/20 0:00,220.0,17719.39023,0,0.007030053,"<[1.3572252E12, 1.4452668E12]>",16
3457,3457,モトコン?,8728.0,129.0,56.0,2013/4/7 0:00,2015/10/20 0:00,266.0,9695.132952,0,0.00764591,"<[1.3652604E12, 1.4452668E12]>",16
1895,1895,ガンダ?_00,3192.0,53.0,22.0,2009/11/21 0:00,2015/10/20 0:00,599.0,3574.14019,0,0.551527716,"<[1.2587292E12, 1.4452668E12]>",18
1085,1085,アンパンマン.,15970.77307,1921.272038,273.027308,2011/7/21 0:00,2015/10/20 0:00,761.71797,21784.24683,0,0.382966808,"<[1.311174E12, 1.4452668E12]>",18
3319,3319,サイバ?フォーミュラ,3192.0,53.0,22.0,2009/11/21 0:00,2015/10/20 0:00,599.0,3574.14019,0,0.551527716,"<[1.2587292E12, 1.4452668E12]>",18
1084,1084,ッ?ンズソウル,2644.071429,52.64285714,22.35714286,2010/1/20 0:00,2015/10/20 0:00,673.7857143,3031.052232,0,0.217511413,"<[1.2639132E12, 1.4452668E12]>",18
4594,4594,リプレイ,4969.5,182.75,53.5,2012/4/20 0:00,2015/10/20 0:00,766.25,5948.334486,0,0.468752698,"<[1.3348476E12, 1.4452668E12]>",18
902,902,TRPGオリジナルリプレイ動画リンク,3083.0,149.25,54.0,2013/4/26 0:00,2015/10/20 0:00,891.5,4035.471586,0,0.719662269,"<[1.366902E12, 1.4452668E12]>",18
2015,2015,パラサイトブラッ?,4391.6,143.6,44.4,2012/1/1 0:00,2015/10/20 0:00,811.0,5196.697214,0,0.416363623,"<[1.3253436E12, 1.4452668E12]>",18
1752,1752,め?くりTRPG第一話リンク,31752.25641,604.0940171,640.5726496,2013/4/1 0:00,2015/10/20 0:00,693.3076923,41953.88067,0,0.529696811,"<[1.364742E12, 1.4452668E12]>",18
5853,5853,??淫具,21439.0,784.0,209.0,2011/12/19 0:00,2015/10/20 0:00,320.0,25330.59914,0,0.146992703,"<[1.3242204E12, 1.4452668E12]>",15
569,569,くろりち?,19699.66667,702.1666667,272.3333333,2011/11/27 0:00,2015/10/20 0:00,369.5,24462.98531,0,0.369605028,"<[1.3223196E12, 1.4452668E12]>",15
4443,4443,放課後怪??ら?,4602.0,250.0,35.0,2014/2/25 0:00,2015/10/20 0:00,738.5,5364.210968,0,0.208878092,"<[1.393254E12, 1.4452668E12]>",13
568,568,アイドルマスター,2602.222222,94.0,45.77777778,2013/2/12 0:00,2015/10/20 0:00,461.8888889,3379.666423,0,0.511578162,"<[1.3605948E12, 1.4452668E12]>",13
5696,5696,世紀末都市サザンクロス,17489.0,389.0,35.0,2011/12/23 0:00,2015/10/20 0:00,651.0,18394.55245,0,0.542034066,"<[1.324566E12, 1.4452668E12]>",18
2752,2752,ずっと俺のターン,15746.0,356.0,32.0,2012/1/22 0:00,2015/10/20 0:00,566.5,16574.14479,0,0.2739547,"<[1.327158E12, 1.4452668E12]>",18
4023,4023,フレーバ?キャラ,11899.0,188.0,49.0,2012/5/13 0:00,2015/10/20 0:00,402.0,12819.08767,0,0.044293931,"<[1.3368348E12, 1.4452668E12]>",18
